date,brand,Retail,media,campaign_name,adgroup_name,ad_name,media_type,product,media_url,impressions,clicks,ctr,cpc,cvr,conversions,cpa,cost,sales,roas,add cart cv,status,appeal_points,hook_type,target_emotion,key_message_jp,key_message_kr,event
2026-04-28,BOH,Qoo10,Meta,BOH_QT_JP_Promo_Megapo_UA_Meta_DA_Click_260428,260428_Megapo_F2549_ADV_engage365d_Collagen_mist,260428_Collagen_mist_effect_VID_02_Megapo_1080x1080_JP,video,Collagen,https://drive.google.com/open?id=15Zb-eVGyLlT4Y0poKUbYDwyFE4z5EkCq&usp=drive_fs,550,10,0.02,534.82,0.00,0,0,"5,348",0,0.00,0,,"피부 탄력 개선, 고농축 영양(마스크팩 100회분 효과), 끈적임 없는 제형, 가격 할인(30% OFF)","비유적 표현, 문제 해결 제시","기대감, 안도감",ゆるみ肌に、ハリの魔法。私をリモデルする瞬間。,처진 피부에 탄력의 마법. 나를 리모델링하는 순간.,Megapo
2026-04-28,BOH,Qoo10,Meta,BOH_QT_JP_Promo_Megapo_UA_Meta_DA_Click_260428,260428_Megapo_F2549_ADV_engage365d_New_nad,260428_New_nad_effect_IMG_02_Megapo_1080x1080_JP,image,New,https://drive.google.com/file/d/1mVGpKVAYX3ppk9IH1zAwCEoK-Zq6TFXs/view?usp=drivesdk,455,7,0.02,676.9714286,0.00,0,0,4738.8,0,0.00,0,,"차세대 성분(NAD), 광채 개선, 파격 할인(38%), 풍성한 기획 구성, 무료 배송","성분 소구, 혜택 강조","기대감, 조급함",フリーズセルのツヤを呼び覚ます。,프리즈셀의 광채를 깨웁니다.,Megapo
2026-04-28,BOH,Qoo10,Meta,BOH_QT_JP_Promo_Megapo_UA_Meta_DA_Click_260428,260428_Megapo_F2549_ADV_engage365d_Gift_box,260428_Gift_box_step_IMG_02_Megapo_1080x1080_JP,image,Gift,,1644,62,0.04,263.5387097,0.00,0,0,16339.4,0,0.00,0,,,,,,,Megapo
2026-04-28,BOH,Qoo10,Meta,BOH_QT_JP_Promo_Megapo_UA_Meta_DA_Click_260428,260428_Megapo_F2549_ADV_engage365d_Refill,260428_Refill_effect_IMG_02_Megapo_1080x1080_JP,image,Refill,,1654,21,0.01,769.3714286,0.00,0,0,16156.8,0,0.00,0,,,,,,,Megapo
2026-04-28,BOH,Qoo10,Meta,BOH_QT_JP_Promo_Megapo_UA_Meta_DA_Click_260428,260428_Megapo_F2549_ADV_engage365d_Gift_box,260428_Gift_box_product_IMG_01_Megapo_1080x1080_JP,image,Gift,,2393,95,0.04,280.0136842,0.00,0,0,26601.3,0,0.00,0,,,,,,,Megapo
2026-04-28,BOH,Qoo10,Meta,BOH_QT_JP_Promo_Megapo_UA_Meta_DA_Click_260428,260428_Megapo_F2549_ADV_engage365d_Gift_box,260428_3D Gift_box_step_IMG_02_Megapo_1080x1080_JP,image,3D Gift,,1731,66,0.04,274.2166667,0.00,0,0,18098.3,0,0.00,0,,,,,,,Megapo
2026-04-28,BOH,Qoo10,Meta,BOH_QT_JP_Promo_Megapo_UA_Meta_DA_Click_260428,260428_Megapo_F2549_ADV_engage365d_Gift_box,260428_3D Gift_box_product_IMG_01_Megapo_1080x1080_JP,image,3D Gift,,1872,66,0.04,288.5333333,0.00,0,0,19043.2,0,0.00,0,,,,,,,Megapo
2026-04-28,BOH,Qoo10,Meta,BOH_QT_JP_Promo_Megapo_UA_Meta_DA_Click_260428,260428_Megapo_F2549_ADV_engage365d_Collagen_mist,260428_Collagen_mist_effect_VID_03_Megapo_1080x1080_JP,video,Collagen,https://drive.google.com/open?id=1kGsOSjTjbroTxWn73cqb7FyaH9xgnNjd&usp=drive_fs,694,14,0.02,545.9928571,0.00,0,0,7643.9,0,0.00,0,,"고효능(마스크팩 100회분), 피부 탄력 개선, 끈적임 없는 사용감, 간편한 사용성, 가성비(할인 및 증정품)","수치 활용(100회분), 효능 강조","기대감, 편리함",シュッとひと吹き、コラーゲンチャージ！,"칙 하고 한 번의 분사로, 콜라겐 충전!",Megapo
2026-04-28,BOH,Qoo10,Meta,BOH_QT_JP_Promo_Megapo_UA_Meta_DA_Click_260428,260428_Megapo_F2549_ADV_engage365d_Collagen_mist,260428_Collagen_mist_effect_VID_01_Megapo_1080x1080_JP,video,Collagen,https://drive.google.com/open?id=1kOez7872yFWDho32CuGTIATWOP0GLIpp&usp=drive_fs,2359,73,0.03,367.1890411,0.00,0,0,26804.8,0,0.00,0,,"모공 케어, 콜라겐 충전, 고효능(마스크팩 100회분), 가격 할인, 증정품 구성","문제 제기, 수치 활용","기대감, 안도감",気になる毛穴の開き 足りなかったのはコラーゲン,"신경 쓰이는 모공 확장, 부족했던 것은 콜라겐",Megapo
2026-04-28,CG,Qoo10,Meta,CG_QT_JP_Promo_Megapo_UA_Meta_DA_Click_260428,260428_Megapo_F1849_ADV_engage365d_Best_color,260428_Best_color_Cover-ko_VID_03_Megapo_1080x1080_JP,video,Best,https://drive.google.com/open?id=1Ph_KJ38G7Jp9B6K9kUATJrr0heR1EZ2y&usp=drive_fs,741,22,0.03,313.15,0.00,0,0,6889.3,0,0.00,0,,"한국 1위 인지도, 가격 할인, 사은품 증정, 부드러운 발색, 가성비","사회적 증명, 혜택 강조","기대감, 소유욕",韓国1位リップベース,한국 1위 립 베이스,Megapo
2026-04-28,BOH,Qoo10,Meta,BOH_QT_JP_Promo_Megapo_UA_Meta_DA_Click_260428,260428_Megapo_F2549_ADV_engage365d_Refill,260428_Refill_product_IMG_01_Megapo_1080x1080_JP,image,Refill,,2674,47,0.02,576.1893617,0.00,0,0,27080.9,0,0.00,0,,,,,,,Megapo
2026-04-28,BOH,Qoo10,SingleOne_Meta,BOH_QT_JP_Promo_Megapo_RT_SingleOne_Conversions_Purchase_260428,260428_Megapo_F2564_atc-vc180d_ex-pur30d_Shurink,260428_Shurink_price_IMG_01_Megapo_1080x1080_JP,image,Shurink,https://drive.google.com/file/d/16bfkIhdSIRXz19VrmoEvF6C_K13khPcI/view?usp=drivesdk,154,5,0.03,594.6943589,0.00,0,0,2973.471795,0,0.00,0,,"신제품 출시, 최저가, 38% 할인, 무료 배송, 증정품 제공","파격 할인, 한정 판매","기대감, 만족감","新発売記念、最安値に挑戦
フリーズセルグロウ パワーセラム企画セット","신제품 출시 기념, 최저가 도전
프리즈셀 글로우 파워 세럼 기획 세트",Megapo
2026-04-28,WM,Qoo10,SingleOne_Meta,WM_QT_JP_Promo_Megapo_RT_SingleOne_Conversions_Purchase_260428,260428_Megapo_F2564_atc-vc180d_ex-pur30d_Best3,260428_Best3_Soble-price_IMG_01_Megapo_1080x1080_JP,image,Best3,,395,12,0.03,496.4243298,0.00,0,0,5957.091957,0,0.00,0,,,,,,,Megapo
2026-04-28,BOH,Qoo10,SingleOne_Meta,BOH_QT_JP_Promo_Megapo_RT_SingleOne_Conversions_Purchase_260428,260428_Megapo_F2564_atc-vc180d_ex-pur30d_Gift_box,260428_3D Gift_box_step_IMG_02_Megapo_1080x1080_JP,image,3D Gift,,265,8,0.03,660.9124595,0.25,2,2643.649838,5287.299676,85246.29036,16.12,0,,,,,,,Megapo
2026-04-28,BOH,Qoo10,Meta,BOH_QT_JP_Promo_Megapo_UA_Meta_DA_Click_260428,260428_Megapo_F2549_ADV_engage365d_New_nad,260428_New_nad_effect_IMG_03_Megapo_1080x1080_JP,image,New,https://drive.google.com/file/d/1VZATOSwma5_zEte8BxRJgr4JFUs95fIV/view?usp=drivesdk,565,9,0.02,570.4111111,0.00,0,0,5133.7,0,0.00,0,,"광채 피부, NAD 성분, 가격 혜택, 홈케어 시너지, 무료 배송","발견의 기쁨, 해답 제시","기대감, 확신",「ついに見つけた」 NADセラムでツヤ肌の正解に到達。,"""드디어 찾았다"" NAD 세럼으로 광채 피부의 정답에 도달.",Megapo
2026-04-28,BOH,Qoo10,SingleOne_Meta,BOH_QT_JP_Promo_Megapo_RT_SingleOne_Conversions_Purchase_260428,260428_Megapo_F2564_atc-vc180d_ex-pur30d_Collagen_mist,260428_Collagen_mist_effect_VID_03_Megapo_1080x1080_JP,video,Collagen,https://drive.google.com/open?id=1kGsOSjTjbroTxWn73cqb7FyaH9xgnNjd&usp=drive_fs,514,25,0.05,430.290799,0.00,0,0,10757.26997,0,0.00,0,,"고효능(마스크팩 100회분), 피부 탄력 개선, 끈적임 없는 사용감, 간편한 사용성, 가성비(할인 및 증정품)","수치 활용(100회분), 효능 강조","기대감, 편리함",シュッとひと吹き、コラーゲンチャージ！,"칙 하고 한 번의 분사로, 콜라겐 충전!",Megapo
2026-04-28,BOH,Qoo10,TikTok,BOH_QT_JP_Promo_Megapo_UA_TikTok_Traffic_Click_260428,260428_Megapo_F2555+_Demo_None_Collagen_mist,260428_Collagen_mist_effect_VID_02_Megapo_1080x1920_JP,video,Collagen,https://drive.google.com/open?id=1OpIeQQJjZJ17PTYlcACKdlt2Bg0LX3WM&usp=drive_fs,2419,383,0.16,89.98746736,0.00,0,0,34465.2,0,0.00,0,,"피부 탄력 개선, 고농축 영양(마스크팩 100회분), 끈적임 없는 제형, 가격 할인(30% OFF), 피부 리모델링","비유적 표현, 수치 활용(100회분)","기대감, 신뢰감",ゆるみ肌に、ハリの魔法。私をリモデルする瞬間。,처진 피부에 탄력의 마법. 나를 리모델링하는 순간.,Megapo
2026-04-28,BOH,Qoo10,SingleOne_Meta,BOH_QT_JP_Promo_Megapo_RT_SingleOne_Conversions_Purchase_260428,260428_Megapo_F2564_atc-vc180d_ex-pur30d_Refill,260428_3D Refill_effect_IMG_02_Megapo_1080x1080_JP,image,3D Refill,https://drive.google.com/open?id=1Sqv9db4DEjtDAuESQcHvbq1Iiz2Yngs2&usp=drive_fs,119,4,0.03,555.6231425,0.00,0,0,2222.49257,0,0.00,0,,"탄력 리프팅, 가성비(리필 포함), 증정 혜택, 독자적 기술력","호기심 유발, 혜택 강조","기대감, 만족감",「塗るハイフ」と話題。高密度な弾力リモデル。,바르는 하이푸'로 화제. 고밀도 탄력 리모델링.,Megapo
2026-04-28,BOH,Qoo10,SingleOne_Meta,BOH_QT_JP_Promo_Megapo_RT_SingleOne_Conversions_Purchase_260428,260428_Megapo_F2564_atc-vc180d_ex-pur30d_Shurink,260428_Shurink_effect_IMG_02_Megapo_1080x1080_JP,image,Shurink,https://drive.google.com/file/d/1szy6VjnC7EIuh4D-WmY6hdNczhdRPNKU/view?usp=drivesdk,149,5,0.03,681.9703229,0.20,1,3409.851614,3409.851614,29061.23535,8.52,0,,"차세대 성분(NAD) 강조, 피부 광채 및 탄력 개선, 높은 할인율, 무료 배송, 추가 증정품, 기간 한정 특가","효능 강조, 혜택 강조, 신기술/성분 강조","기대감, 만족감, 이득감",次世代NAD配合 フリーズセルのツヤを呼び覚ます。,차세대 NAD 배합. 프리즈셀의 윤기를 깨웁니다.,Megapo
2026-04-28,BOH,Qoo10,Meta,BOH_QT_JP_Promo_Megapo_UA_Meta_DA_Click_260428,260428_Megapo_F2549_ADV_engage365d_Refill,260428_3D Refill_product_IMG_01_Megapo_1080x1080_JP,image,3D Refill,,1679,21,0.01,752.8190476,0.00,0,0,15809.2,0,0.00,0,,,,,,,Megapo
